,time,match
137,2022/05/25,New York Yankees VS. Baltimore Orioles
138,2022/05/25,Atlanta Braves VS. Philadelphia Phillies
139,2022/05/26,Cincinnati Reds VS. Chicago Cubs
140,2022/05/26,Tampa Bay Rays VS. New York Yankees
141,2022/05/26,Los Angeles Angels VS. Toronto Blue Jays
142,2022/05/28,Boston Red Sox VS. Baltimore Orioles
143,2022/05/28,Detroit Tigers VS. Cleveland Guardians
144,2022/05/28,New York Mets VS. Philadelphia Phillies
145,2022/05/28,Arizona Diamondbacks VS. Los Angeles Dodgers
146,2022/05/28,Chicago White Sox VS. Chicago Cubs
147,2022/05/28,Los Angeles Angels VS. Toronto Blue Jays
148,2022/05/29,Tampa Bay Rays VS. New York Yankees
149,2022/05/29,New York Mets VS. Philadelphia Phillies
150,2022/05/30,Chicago Cubs VS. Milwaukee Brewers
151,2022/05/30,Philadelphia Phillies VS. San Francisco Giants
152,2022/05/30,New York Mets VS. Washington Nationals
153,2022/05/30,Chicago Cubs VS. Milwaukee Brewers
154,2022/05/30,Los Angeles Dodgers VS. Pittsburgh Pirates
155,2022/05/31,New York Yankees VS. Los Angeles Angels
156,2022/05/31,Los Angeles Dodgers VS. Pittsburgh Pirates
157,2022/06/01,Cleveland Guardians VS. Kansas City Royals
158,2022/06/01,St. Louis Cardinals VS. San Diego Padres
159,2022/06/02,New York Yankees VS. Los Angeles Angels
160,2022/06/02,Detroit Tigers VS. Minnesota Twins
161,2022/06/02,Texas Rangers VS. Tampa Bay Rays
162,2022/06/02,Baltimore Orioles VS. Seattle Mariners
163,2022/06/02,New York Yankees VS. Los Angeles Angels
164,2022/06/03,Chicago Cubs VS. St. Louis Cardinals
165,2022/06/04,New York Yankees VS. Detroit Tigers
166,2022/06/04,Chicago Cubs VS. St. Louis Cardinals
167,2022/06/04,Milwaukee Brewers VS. San Diego Padres
168,2022/06/04,Philadelphia Phillies VS. Los Angeles Angels
169,2022/06/04,Chicago Cubs VS. St. Louis Cardinals
170,2022/06/04,Los Angeles Dodgers VS. New York Mets
171,2022/06/05,Philadelphia Phillies VS. Los Angeles Angels
172,2022/06/05,Tampa Bay Rays VS. Chicago White Sox
173,2022/06/05,Chicago Cubs VS. St. Louis Cardinals
174,2022/06/06,Los Angeles Angels VS. Boston Red Sox
175,2022/06/06,San Diego Padres VS. New York Mets
176,2022/06/07,Chicago White Sox VS. Los Angeles Dodgers
177,2022/06/07,Chicago White Sox VS. Los Angeles Dodgers
178,2022/06/08,Pittsburgh Pirates VS. Detroit Tigers
179,2022/06/08,Kansas City Royals VS. Toronto Blue Jays
180,2022/06/08,Minnesota Twins VS. New York Yankees
181,2022/06/08,Los Angeles Angels VS. Boston Red Sox
182,2022/06/08,San Diego Padres VS. New York Mets
183,2022/06/09,Chicago White Sox VS. Los Angeles Dodgers
184,2022/06/09,Milwaukee Brewers VS. Philadelphia Phillies
185,2022/06/09,Miami Marlins VS. Washington Nationals
186,2022/06/09,Cleveland Guardians VS. Oakland Athletics
187,2022/06/09,Minnesota Twins VS. New York Yankees
188,2022/06/09,Los Angeles Angels VS. Boston Red Sox
189,2022/06/11,Cleveland Guardians VS. Oakland Athletics
190,2022/06/11,New York Yankees VS. Chicago Cubs
191,2022/06/11,San Francisco Giants VS. Los Angeles Dodgers
192,2022/06/11,Los Angeles Angels VS. New York Mets
193,2022/06/11,San Diego Padres VS. Colorado Rockies
194,2022/06/12,New York Yankees VS. Chicago Cubs
195,2022/06/12,Detroit Tigers VS. Toronto Blue Jays
196,2022/06/12,Los Angeles Angels VS. New York Mets
197,2022/06/13,Chicago Cubs VS. San Diego Padres
198,2022/06/13,Texas Rangers VS. Houston Astros
199,2022/06/14,New York Yankees VS. Tampa Bay Rays
200,2022/06/14,Washington Nationals VS. Atlanta Braves
201,2022/06/14,Detroit Tigers VS. Chicago White Sox
202,2022/06/14,Los Angeles Dodgers VS. Los Angeles Angels
203,2022/06/15,Philadelphia Phillies VS. Miami Marlins
204,2022/06/15,Detroit Tigers VS. Chicago White Sox
205,2022/06/15,Seattle Mariners VS. Minnesota Twins
206,2022/06/15,New York Mets VS. Milwaukee Brewers
207,2022/06/15,Los Angeles Dodgers VS. Los Angeles Angels
208,2022/06/16,New York Yankees VS. Tampa Bay Rays
209,2022/06/16,Detroit Tigers VS. Texas Rangers
210,2022/06/16,Seattle Mariners VS. Los Angeles Angels
211,2022/06/18,Seattle Mariners VS. Los Angeles Angels
212,2022/06/18,Detroit Tigers VS. Texas Rangers
213,2022/06/18,Boston Red Sox VS. St. Louis Cardinals
214,2022/06/18,Los Angeles Dodgers VS. Cleveland Guardians
215,2022/06/18,Arizona Diamondbacks VS. Minnesota Twins
216,2022/06/19,Boston Red Sox VS. St. Louis Cardinals
217,2022/06/19,Toronto Blue Jays VS. New York Yankees
218,2022/06/19,Houston Astros VS. Chicago White Sox
219,2022/06/20,New York Mets VS. Miami Marlins
220,2022/06/20,Milwaukee Brewers VS. St. Louis Cardinals
221,2022/06/21,Atlanta Braves VS. San Francisco Giants
222,2022/06/21,Oakland Athletics VS. Seattle Mariners
223,2022/06/21,San Diego Padres VS. Arizona Diamondbacks
224,2022/06/22,Houston Astros VS. New York Mets
225,2022/06/22,Chicago White Sox VS. Toronto Blue Jays
226,2022/06/22,Boston Red Sox VS. Detroit Tigers
227,2022/06/23,Miami Marlins VS. Colorado Rockies
228,2022/06/23,Atlanta Braves VS. San Francisco Giants
229,2022/06/23,New York Yankees VS. Houston Astros
230,2022/06/23,Chicago White Sox VS. Baltimore Orioles
231,2022/06/24,Miami Marlins VS. New York Mets
232,2022/06/25,New York Yankees VS. Houston Astros
233,2022/06/25,Tampa Bay Rays VS. Pittsburgh Pirates
234,2022/06/25,Texas Rangers VS. Washington Nationals
235,2022/06/25,Minnesota Twins VS. Colorado Rockies
236,2022/06/25,Atlanta Braves VS. Los Angeles Dodgers
237,2022/06/25,Los Angeles Angels VS. Seattle Mariners
238,2022/06/26,New York Yankees VS. Houston Astros
239,2022/06/26,Atlanta Braves VS. Los Angeles Dodgers
240,2022/06/26,Atlanta Braves VS. Los Angeles Dodgers
241,2022/06/27,New York Yankees VS. Oakland Athletics
242,2022/06/27,Toronto Blue Jays VS. Boston Red Sox
243,2022/06/27,Seattle Mariners VS. Baltimore Orioles
244,2022/06/28,New York Mets VS. Houston Astros
245,2022/06/28,Los Angeles Angels VS. Chicago White Sox
246,2022/06/28,San Francisco Giants VS. Detroit Tigers
247,2022/06/29,New York Mets VS. Houston Astros
248,2022/06/29,Philadelphia Phillies VS. Atlanta Braves
249,2022/06/29,Toronto Blue Jays VS. Boston Red Sox
250,2022/06/30,Cleveland Guardians VS. Minnesota Twins
251,2022/06/30,Philadelphia Phillies VS. Atlanta Braves
252,2022/06/30,Houston Astros VS. New York Yankees
253,2022/06/30,Toronto Blue Jays VS. Tampa Bay Rays
254,2022/06/30,Los Angeles Dodgers VS. San Diego Padres
255,2022/07/01,Chicago Cubs VS. Boston Red Sox
256,2022/07/01,Toronto Blue Jays VS. Tampa Bay Rays
257,2022/07/01,Philadelphia Phillies VS. St. Louis Cardinals
258,2022/07/01,Cincinnati Reds VS. Atlanta Braves
259,2022/07/02,Toronto Blue Jays VS. Tampa Bay Rays
260,2022/07/02,Seattle Mariners VS. Oakland Athletics
261,2022/07/02,Chicago Cubs VS. Boston Red Sox
262,2022/07/02,Los Angeles Dodgers VS. San Diego Padres
263,2022/07/03,Toronto Blue Jays VS. Tampa Bay Rays
264,2022/07/03,Cleveland Guardians VS. New York Yankees
265,2022/07/03,Philadelphia Phillies VS. St. Louis Cardinals
266,2022/07/04,Washington Nationals VS. Miami Marlins
267,2022/07/04,Detroit Tigers VS. Cleveland Guardians
268,2022/07/04,Houston Astros VS. Kansas City Royals
269,2022/07/04,Atlanta Braves VS. St. Louis Cardinals
270,2022/07/05,San Diego Padres VS. Seattle Mariners
271,2022/07/05,Boston Red Sox VS. Tampa Bay Rays
272,2022/07/05,Oakland Athletics VS. Toronto Blue Jays
273,2022/07/05,Los Angeles Dodgers VS. Colorado Rockies
274,2022/07/06,Detroit Tigers VS. Cleveland Guardians
275,2022/07/06,Chicago White Sox VS. Minnesota Twins
276,2022/07/06,Atlanta Braves VS. St. Louis Cardinals
277,2022/07/06,Los Angeles Dodgers VS. Colorado Rockies
278,2022/07/07,Houston Astros VS. Kansas City Royals
279,2022/07/07,Cincinnati Reds VS. Pittsburgh Pirates
280,2022/07/07,Boston Red Sox VS. New York Yankees
281,2022/07/07,Atlanta Braves VS. St. Louis Cardinals
282,2022/07/08,Baltimore Orioles VS. Los Angeles Angels
283,2022/07/08,Boston Red Sox VS. New York Yankees
284,2022/07/08,Atlanta Braves VS. Washington Nationals
285,2022/07/08,Los Angeles Dodgers VS. Chicago Cubs
286,2022/07/09,Cincinnati Reds VS. Tampa Bay Rays
287,2022/07/09,Boston Red Sox VS. New York Yankees
288,2022/07/09,San Diego Padres VS. San Francisco Giants
289,2022/07/09,Los Angeles Dodgers VS. Chicago Cubs
290,2022/07/09,Seattle Mariners VS. Toronto Blue Jays
291,2022/07/10,Atlanta Braves VS. Washington Nationals
292,2022/07/10,New York Mets VS. Miami Marlins
293,2022/07/10,Boston Red Sox VS. New York Yankees
294,2022/07/11,Kansas City Royals VS. Detroit Tigers
295,2022/07/12,Cleveland Guardians VS. Chicago White Sox
296,2022/07/12,St. Louis Cardinals VS. Los Angeles Dodgers
297,2022/07/12,Los Angeles Angels VS. Houston Astros
298,2022/07/12,San Francisco Giants VS. Arizona Diamondbacks
299,2022/07/13,Washington Nationals VS. Seattle Mariners
300,2022/07/13,Atlanta Braves VS. New York Mets
301,2022/07/13,Minnesota Twins VS. Milwaukee Brewers
302,2022/07/13,Toronto Blue Jays VS. Philadelphia Phillies
303,2022/07/14,Miami Marlins VS. Pittsburgh Pirates
304,2022/07/14,Colorado Rockies VS. San Diego Padres
305,2022/07/14,Tampa Bay Rays VS. Boston Red Sox
306,2022/07/14,St. Louis Cardinals VS. Los Angeles Dodgers
307,2022/07/15,New York Yankees VS. Boston Red Sox
308,2022/07/15,Toronto Blue Jays VS. Kansas City Royals
309,2022/07/16,Cleveland Guardians VS. Detroit Tigers
310,2022/07/16,San Francisco Giants VS. Milwaukee Brewers
311,2022/07/16,New York Yankees VS. Boston Red Sox
312,2022/07/16,Chicago Cubs VS. New York Mets
313,2022/07/16,Los Angeles Angels VS. Los Angeles Dodgers
314,2022/07/17,New York Yankees VS. Boston Red Sox
315,2022/07/19,National League All-Stars VS. American League All-Stars
316,2022/07/19,National League All-Stars VS. American League All-Stars
317,2022/07/21,Houston Astros VS. New York Yankees
318,2022/07/21,Oakland Athletics VS. Detroit Tigers
319,2022/07/21,Houston Astros VS. New York Yankees
320,2022/07/21,Los Angeles Dodgers VS. San Francisco Giants
321,2022/07/22,Los Angeles Dodgers VS. San Francisco Giants
322,2022/07/22,Seattle Mariners VS. Houston Astros
323,2022/07/23,Chicago White Sox VS. Cleveland Guardians
324,2022/07/23,Seattle Mariners VS. Houston Astros
325,2022/07/23,Chicago White Sox VS. Cleveland Guardians
326,2022/07/23,Los Angeles Dodgers VS. San Francisco Giants
327,2022/07/23,Oakland Athletics VS. Texas Rangers
328,2022/07/24,New York Mets VS. San Diego Padres
329,2022/07/25,Philadelphia Phillies VS. Atlanta Braves
330,2022/07/25,Detroit Tigers VS. San Diego Padres
331,2022/07/25,Los Angeles Dodgers VS. Washington Nationals
332,2022/07/25,Seattle Mariners VS. Texas Rangers
333,2022/07/26,Chicago Cubs VS. Pittsburgh Pirates
334,2022/07/26,New York Mets VS. New York Yankees
335,2022/07/26,Seattle Mariners VS. Texas Rangers
336,2022/07/26,Los Angeles Dodgers VS. Washington Nationals
337,2022/07/27,Philadelphia Phillies VS. Atlanta Braves
338,2022/07/27,Detroit Tigers VS. San Diego Padres
339,2022/07/27,Milwaukee Brewers VS. Minnesota Twins
340,2022/07/27,Arizona Diamondbacks VS. San Francisco Giants
341,2022/07/27,New York Mets VS. New York Yankees
342,2022/07/28,Cincinnati Reds VS. Miami Marlins
343,2022/07/29,Los Angeles Angels VS. Texas Rangers
344,2022/07/29,San Diego Padres VS. Minnesota Twins
345,2022/07/30,Tampa Bay Rays VS. Cleveland Guardians
346,2022/07/30,Boston Red Sox VS. Milwaukee Brewers
347,2022/07/30,Washington Nationals VS. St. Louis Cardinals
348,2022/07/30,Pittsburgh Pirates VS. Philadelphia Phillies
349,2022/07/30,San Diego Padres VS. Minnesota Twins
350,2022/07/30,Los Angeles Angels VS. Texas Rangers
351,2022/07/31,Boston Red Sox VS. Milwaukee Brewers
352,2022/07/31,New York Yankees VS. Kansas City Royals
353,2022/07/31,San Francisco Giants VS. Chicago Cubs
354,2022/08/01,Houston Astros VS. Boston Red Sox
355,2022/08/02,New York Yankees VS. Seattle Mariners
356,2022/08/02,Washington Nationals VS. New York Mets
357,2022/08/02,Tampa Bay Rays VS. Toronto Blue Jays
358,2022/08/02,San Francisco Giants VS. Los Angeles Dodgers
359,2022/08/03,New York Yankees VS. Seattle Mariners
360,2022/08/03,Minnesota Twins VS. Detroit Tigers
361,2022/08/03,Washington Nationals VS. New York Mets
362,2022/08/03,San Diego Padres VS. Colorado Rockies
363,2022/08/03,San Francisco Giants VS. Los Angeles Dodgers
364,2022/08/03,San Francisco Giants VS. Los Angeles Dodgers
365,2022/08/04,Pittsburgh Pirates VS. Milwaukee Brewers
366,2022/08/04,San Francisco Giants VS. Los Angeles Dodgers
367,2022/08/04,San Diego Padres VS. Colorado Rockies
368,2022/08/04,Detroit Tigers VS. Tampa Bay Rays
369,2022/08/05,Chicago Cubs VS. Miami Marlins
370,2022/08/05,Arizona Diamondbacks VS. Colorado Rockies
371,2022/08/05,Los Angeles Dodgers VS. San Diego Padres
372,2022/08/06,Chicago Cubs VS. Miami Marlins
373,2022/08/06,Seattle Mariners VS. Los Angeles Angels
374,2022/08/06,St. Louis Cardinals VS. New York Yankees
375,2022/08/06,Milwaukee Brewers VS. Cincinnati Reds
376,2022/08/07,Philadelphia Phillies VS. Washington Nationals
377,2022/08/07,Detroit Tigers VS. Tampa Bay Rays
378,2022/08/07,Los Angeles Dodgers VS. San Diego Padres
379,2022/08/08,San Diego Padres VS. San Francisco Giants
380,2022/08/08,Seattle Mariners VS. New York Yankees
381,2022/08/09,Boston Red Sox VS. Atlanta Braves
382,2022/08/10,New York Mets VS. Cincinnati Reds
383,2022/08/10,Kansas City Royals VS. Chicago White Sox
384,2022/08/11,Philadelphia Phillies VS. Miami Marlins
385,2022/08/11,Detroit Tigers VS. Cleveland Guardians
386,2022/08/11,Houston Astros VS. Texas Rangers
387,2022/08/11,Cincinnati Reds VS. Chicago Cubs
388,2022/08/12,Toronto Blue Jays VS. Cleveland Guardians
389,2022/08/12,Boston Red Sox VS. New York Yankees
390,2022/08/13,Miami Marlins VS. Atlanta Braves
391,2022/08/13,Toronto Blue Jays VS. Cleveland Guardians
392,2022/08/13,Tampa Bay Rays VS. Baltimore Orioles
393,2022/08/13,Boston Red Sox VS. New York Yankees
394,2022/08/13,Texas Rangers VS. Seattle Mariners
395,2022/08/14,Toronto Blue Jays VS. Cleveland Guardians
396,2022/08/14,New York Mets VS. Philadelphia Phillies
397,2022/08/14,Boston Red Sox VS. New York Yankees
398,2022/08/15,Cleveland Guardians VS. Detroit Tigers
399,2022/08/15,Cleveland Guardians VS. Detroit Tigers
400,2022/08/15,Chicago White Sox VS. Houston Astros
401,2022/08/16,New York Yankees VS. Tampa Bay Rays
402,2022/08/16,Los Angeles Angels VS. Seattle Mariners
403,2022/08/16,San Francisco Giants VS. Arizona Diamondbacks
404,2022/08/17,Washington Nationals VS. Chicago Cubs
405,2022/08/17,Minnesota Twins VS. Kansas City Royals
406,2022/08/17,Los Angeles Angels VS. Seattle Mariners
407,2022/08/17,Miami Marlins VS. San Diego Padres
408,2022/08/17,Milwaukee Brewers VS. Los Angeles Dodgers
409,2022/08/18,Milwaukee Brewers VS. Los Angeles Dodgers
410,2022/08/18,New York Yankees VS. Toronto Blue Jays
411,2022/08/18,Pittsburgh Pirates VS. Boston Red Sox
412,2022/08/19,Chicago Cubs VS. Milwaukee Brewers
413,2022/08/19,San Diego Padres VS. Washington Nationals
414,2022/08/19,Los Angeles Dodgers VS. Miami Marlins
415,2022/08/20,New York Yankees VS. Toronto Blue Jays
416,2022/08/20,Detroit Tigers VS. Los Angeles Angels
417,2022/08/20,Chicago Cubs VS. Milwaukee Brewers
418,2022/08/20,Oakland Athletics VS. Seattle Mariners
419,2022/08/20,Atlanta Braves VS. Houston Astros
420,2022/08/20,Philadelphia Phillies VS. New York Mets
421,2022/08/21,New York Yankees VS. Toronto Blue Jays
422,2022/08/21,Atlanta Braves VS. Houston Astros
423,2022/08/21,Baltimore Orioles VS. Boston Red Sox
424,2022/08/22,New York Yankees VS. New York Mets
425,2022/08/22,Tampa Bay Rays VS. Los Angeles Angels
426,2022/08/23,Chicago Cubs VS. St. Louis Cardinals
427,2022/08/23,New York Yankees VS. New York Mets
428,2022/08/23,Houston Astros VS. Minnesota Twins
429,2022/08/23,Kansas City Royals VS. Arizona Diamondbacks
430,2022/08/24,Pittsburgh Pirates VS. Atlanta Braves
431,2022/08/24,Detroit Tigers VS. San Francisco Giants
432,2022/08/24,Oakland Athletics VS. Miami Marlins
433,2022/08/24,San Diego Padres VS. Cleveland Guardians
434,2022/08/24,Baltimore Orioles VS. Chicago White Sox
435,2022/08/25,Tampa Bay Rays VS. Los Angeles Angels
436,2022/08/25,Chicago Cubs VS. St. Louis Cardinals
437,2022/08/25,Seattle Mariners VS. Cleveland Guardians
438,2022/08/25,Boston Red Sox VS. Toronto Blue Jays
439,2022/08/25,Houston Astros VS. Minnesota Twins
440,2022/08/26,Minnesota Twins VS. San Francisco Giants
441,2022/08/26,St. Louis Cardinals VS. Atlanta Braves
442,2022/08/27,Toronto Blue Jays VS. Los Angeles Angels
443,2022/08/27,Boston Red Sox VS. Tampa Bay Rays
444,2022/08/27,St. Louis Cardinals VS. Atlanta Braves
445,2022/08/27,Minnesota Twins VS. San Francisco Giants
446,2022/08/27,Seattle Mariners VS. Cleveland Guardians
447,2022/08/28,Toronto Blue Jays VS. Los Angeles Angels
448,2022/08/28,New York Mets VS. Colorado Rockies
449,2022/08/28,St. Louis Cardinals VS. Atlanta Braves
450,2022/08/29,Los Angeles Angels VS. New York Yankees
451,2022/08/29,Arizona Diamondbacks VS. Philadelphia Phillies
452,2022/08/30,New York Mets VS. Los Angeles Dodgers
453,2022/08/30,Los Angeles Angels VS. New York Yankees
454,2022/08/30,San Francisco Giants VS. San Diego Padres
455,2022/08/31,Texas Rangers VS. Houston Astros
456,2022/08/31,Milwaukee Brewers VS. Pittsburgh Pirates
457,2022/08/31,Toronto Blue Jays VS. Chicago Cubs
458,2022/08/31,New York Mets VS. Los Angeles Dodgers
459,2022/09/01,Chicago White Sox VS. Kansas City Royals
460,2022/09/01,Washington Nationals VS. Oakland Athletics
461,2022/09/01,Boston Red Sox VS. Texas Rangers
462,2022/09/01,Atlanta Braves VS. Colorado Rockies
463,2022/09/02,Boston Red Sox VS. Texas Rangers
464,2022/09/02,Tampa Bay Rays VS. New York Yankees
465,2022/09/03,San Francisco Giants VS. Philadelphia Phillies
466,2022/09/03,Boston Red Sox VS. Texas Rangers
467,2022/09/03,Cleveland Guardians VS. Seattle Mariners
468,2022/09/03,Chicago White Sox VS. Minnesota Twins
469,2022/09/04,Boston Red Sox VS. Texas Rangers
470,2022/09/04,Tampa Bay Rays VS. New York Yankees
471,2022/09/04,Los Angeles Dodgers VS. San Diego Padres
472,2022/09/05,New York Yankees VS. Minnesota Twins
473,2022/09/05,Baltimore Orioles VS. Toronto Blue Jays
